"Código","Nome","UF","Latitude","Longitude","Altitude","Fundação","DataFinal"
"A140","EPITACIOLANDIA","AC",-11.0239,-68.7353,224.5,"2009-09-25","2022-12-31"
"A101","MANAUS","AM",-3.1036,-60.0156,48.79,"2000-05-09","2022-12-31"
"A109","EIRUNEPE","AM",-6.6503,-69.8686,121.54,"2012-08-31","2022-12-31"
"A110","BOCA DO ACRE","AM",-8.7768,-67.3325,111.98,"2008-07-15","2022-12-31"
"A111","LABREA","AM",-7.2606,-64.7885,61.91,"2008-07-27","2022-12-31"
"A112","HUMAITA","AM",-7.5525,-63.0714,53.56,"2008-04-25","2022-12-31"
"A113","APUI","AM",-7.2056,-59.8886,156.97,"2008-07-19","2022-12-31"
"A117","COARI","AM",-4.0975,-63.1453,33.84,"2008-04-12","2022-12-31"
"A119","MANACAPURU","AM",-3.2947,-60.6283,36.57,"2008-04-10","2022-12-31"
"A120","AUTAZES","AM",-3.5833,-59.1294,19.9,"2008-04-17","2022-12-31"
"A121","ITACOATIARA","AM",-3.1333,-58.4828,41.54,"2008-04-17","2022-12-31"
"A122","MAUES","AM",-3.3989,-57.6739,25.49,"2008-04-22","2022-12-31"
"A123","PARINTINS","AM",-2.6392,-56.7561,18.72,"2008-04-11","2022-12-31"
"A124","URUCARA","AM",-2.5347,-57.7581,18.49,"2008-04-17","2022-12-31"
"A125","RIO URUBU","AM",-2.6336,-59.6006,112.84,"2008-06-26","2022-12-31"
"A126","PRESIDENTE FIGUEIREDO","AM",-2.0567,-60.0258,60.99,"2008-04-19","2022-12-31"
"A128","BARCELOS","AM",-0.9872,-62.9242,29.88,"2008-04-19","2022-12-31"
"A133","MANICORE","AM",-5.7886,-61.2883,40.64,"2011-12-12","2022-12-31"
"A134","S. G. DA CACHOEIRA","AM",-0.1252,-67.0612,79.67,"2011-08-31","2022-12-31"
"A144","NOVO ARIPUANA","AM",-8.0911,-60.3806,45,"2019-07-18","2022-12-31"
"A242","OIAPOQUE","AP",3.8136,-51.8625,15.14,"2008-09-11","2022-12-31"
"A244","PORTO GRANDE","AP",0.6942,-51.4039,84.8,"2019-01-01","2022-12-31"
"A249","MACAPA","AP",0.035,-51.0889,16.62,"2013-12-12","2022-12-31"
"A251","ITAUBAL","AP",0.5678,-50.8235,21,"2017-08-24","2022-12-31"
"A201","BELEM","PA",-1.4112,-48.4395,21.17,"2003-01-20","2022-12-31"
"A202","CASTANHAL","PA",-1.3009,-47.9481,47.13,"2003-01-24","2022-12-31"
"A209","MEDICILANDIA","PA",-3.5109,-52.9633,251.68,"2008-02-17","2022-12-31"
"A210","PACAJA","PA",-3.8436,-50.6381,89.02,"2008-02-27","2022-12-31"
"A211","PLACAS","PA",-3.8642,-54.2164,100.45,"2008-02-14","2022-12-31"
"A212","PARAGOMINAS","PA",-2.9911,-47.3564,93,"2007-10-18","2022-12-31"
"A213","TOME ACU","PA",-2.5925,-48.3606,42.95,"2007-10-15","2022-12-31"
"A214","RONDON DO PARA","PA",-4.8275,-48.1736,203,"2008-04-17","2022-12-31"
"A215","SALINOPOLIS","PA",-0.6189,-47.3566,23.18,"2008-06-14","2022-12-31"
"A216","SAO FELIX DO XINGU","PA",-6.6396,-51.957,211,"2016-11-15","2022-12-31"
"A226","BRAGANCA","PA",-1.0472,-46.7858,41,"2008-03-11","2022-12-31"
"A227","SOURE","PA",-0.7278,-48.5158,12.54,"2008-04-27","2022-12-31"
"A228","BREVES","PA",-1.6803,-50.4781,11,"2017-10-20","2022-12-31"
"A229","TUCURUI","PA",-3.8228,-49.675,137.94,"2008-03-01","2022-12-31"
