"Date","Tair_mean (c)","Tair_min (c)","Tair_max (c)","Dew_tmean (c)","Dew_tmin (c)","Dew_tmax (c)","Dry_bulb_t (c)","Rainfall (mm)","Patm (mB)","Rh_mean (porc)","Rh_max (porc)","Rh_min (porc)","Ws_10 (m s-1)","Ws_2 (m s-1)","Ws_gust (m s-1)","Wd (degrees)","Sr (Mj m-2 day-1)","DOY","Ra (Mj m-2 day-1)","Station_code","Station","UF","Longitude (degrees)","Latitude (degrees)","Altitude (m)","eto"
2001-03-17,22.7354166666667,17.9,28,14.9708333333333,11.9,17.1,22.7708333333333,0,887.5875,62.9583333333333,84,41,2.775,2.07494884080093,8.5,78.375,25.204,76,36.9997200467347,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.42400186329135
2001-03-18,23.3479166666667,18.4,29.8,16.26875,14,18.7,23.3291666666667,0,885.475,65.375,83,41,1.8,1.34591276160061,6.4,110,22.468,77,36.8729270925581,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.87503231133035
2001-03-19,20.7916666666667,18.3,26.7,17.3895833333333,16,19.5,20.7791666666667,3.6,885.8625,81,92,56,1.825,1.36460599440061,10.2,225.833333333333,13.064,78,36.7443692972847,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.11828213094566
2001-03-20,20.2645833333333,17,24.6,17.3875,15.8,19,20.2666666666667,7.8,888.225,84.0416666666667,97,66,1.475,1.1029007352005,9.5,133.541666666667,10.486,79,36.6140888630289,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,2.39953507791254
2001-03-21,21.8666666666667,17,27.1,15.9145833333333,11.8,19,21.8958333333333,0.2,888.020833333333,71.2916666666667,97,39,2.78333333333333,2.08117991840094,9.4,104.083333333333,26.451,80,36.4821300306604,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.33750779830172
2001-03-22,22.1145833333333,16.2,27.7,14.7354166666667,11.6,17.2,22.0666666666667,0,886.55,65.7083333333333,90,40,2.30833333333333,1.72600849520078,8.8,110.583333333333,23.952,81,36.3485390479868,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.96593719773903
2001-03-23,22.74375,16.5,28.2,14.71875,12.4,16.5,22.7791666666667,0,885.4625,62.375,93,40,2.32083333333333,1.73535511160078,7.9,103.208333333333,26.013,82,36.2133641350477,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.26048809418627
2001-03-24,22.6791666666667,17.8,28,15.84375,12.6,17.9,22.7166666666667,2,886.004166666667,66.75,91,40,2.02083333333333,1.51103631800068,11.2,104.375,23.493,83,36.0766554465917,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.85697917631576
2001-03-25,22.4020833333333,17.2,28.8,15.9520833333333,12.7,18.1,22.3791666666667,0,887.1625,68.7083333333333,93,39,1.57083333333333,1.17455812760053,11.2,105.625,20.026,84,35.9384650318118,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.26729803217995
2001-03-26,21.1229166666667,17.1,27.5,16.3395833333333,13.6,17.8,21.1,0,887.045833333333,75.4166666666667,93,50,1.675,1.25244659760056,13.6,131.625,15.063,85,35.7988467914237,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.42307137565715
2001-03-27,21.73125,16.5,27.6,16.3375,13.1,17.9,21.7,0,886.391666666667,73.2083333333333,96,43,0.9,0.672956380800303,7.4,203.291666666667,14.179,86,35.6578564321724,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.06244033502084
2001-03-28,21.9708333333333,18.5,26.3,17.3979166666667,16.2,19.1,21.9375,2.4,885.891666666667,76.0416666666667,94,56,1.35,1.00943457120045,5.8,213.458333333333,16.152,87,35.5155514188598,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.36351560557173
2001-03-29,20.80625,18.5,27.2,17.66875,15.9,19.8,20.7208333333333,4.6,887.354166666667,83.1666666666667,94,52,1.74166666666667,1.30229521840059,10,188.75,15.444,88,35.3719909239904,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.44153135383822
2001-03-30,19.71875,16.9,25.8,17.33125,15.1,19.9,19.7291666666667,16.8,887.845833333333,87.0833333333333,95,65,1.64166666666667,1.22752228720055,16.2,143.583333333333,13.575,89,35.2272357751357,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,2.87100678080809
2001-03-31,21.6645833333333,16.9,27.6,16.9458333333333,13.7,19.7,21.8083333333333,0,886.595833333333,76.2083333333333,97,47,2.1125,1.57957817160071,9.3,132.333333333333,20.885,90,35.0813484001221,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.30593241383945
2001-04-01,21.66875,17.4,27.4,16.5708333333333,13.6,18.4,21.7416666666667,0,887.0375,73.4583333333333,89,51,2.17083333333333,1.62319571480073,9.6,101.416666666667,20.809,91,34.9343927701498,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.30469187746174
2001-04-02,21.5208333333333,17.3,27.6,16.3625,14.3,17.9,21.3958333333333,11,887.929166666667,73.9166666666667,95,45,1.96666666666667,1.47053431360066,9.5,108.833333333333,20.083,92,34.7864343409569,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.19435860250818
2001-04-03,20.6895833333333,16.7,27.4,16.425,13.1,18.5,20.65,0.4,888.079166666667,78.2083333333333,96,42,1.69166666666667,1.26490875280057,8.3,179.916666666667,19.486,93,34.6375399921406,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.01116091862661
2001-04-04,21.3520833333333,17.1,27.9,16.4,14.2,19.8,21.3708333333333,26,887.075,74.4166666666667,95,48,2.22916666666667,1.66681325800075,12.6,139.166666666667,20.002,94,34.4877779647549,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.22625335810791
2001-04-05,22.1354166666667,17.8,27.7,16.9895833333333,14.8,18.6,22.175,1.8,887.575,74.5416666666667,96,46,2.8375,2.12168192280096,9.4,113.583333333333,23.37,95,34.3372177973039,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.83361051017
2001-04-06,22.7020833333333,18.2,27.8,16.0125,13.1,18.2,22.7416666666667,0,889.05,67.0833333333333,85,41,3.0375,2.27122778520102,10,94.2083333333333,24.127,96,34.1859302602519,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.21438798348196
2001-04-07,22.9708333333333,18.1,28.3,15.29375,12.5,17,22.9291666666667,0,889.170833333333,63.875,86,39,3.125,2.33665410000105,10.3,107.583333333333,24.728,97,34.0339872891745,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.38579044865576
2001-04-09,22.55625,17.3,27.6,12.3791666666667,9,14.9,22.5625,0,886.216666666667,53.4583333333333,73,32,2.50416666666667,1.87243881880084,8.8,84.5833333333333,24.296,99,33.7284282031939,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.19806923263965
2001-04-10,23.0520833333333,18.6,28.4,12.4625,9,14.8,23.0583333333333,0,886.304166666667,52.7916666666667,70,30,1.80833333333333,1.35214383920061,6.8,76.7083333333333,21.921,100,33.5749611668281,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.70491764131503
2001-04-11,22.9166666666667,16.6,29.3,12.4208333333333,8.2,16.4,22.8375,0,887.629166666667,54.5416666666667,82,29,1.37083333333333,1.02501226520046,8.5,126.5,22.803,101,33.4211367123045,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.51125335869284
2001-04-12,23.2041666666667,19.2,28.3,15.6854166666667,13,18.9,23.2291666666667,6.8,887.6625,62.9166666666667,91,46,1.52083333333333,1.13717166200051,14.4,168.666666666667,16.81,102,33.2670315592149,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.66640347569008
2001-04-13,23.1833333333333,18.7,29.8,15.7979166666667,9.4,18.7,23.2125,4,885.970833333333,65.6666666666667,93,29,1.47083333333333,1.0997851964005,10.1,163.083333333333,21.482,103,33.112723169651,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.45156110614211
2001-04-14,20.5104166666667,18.2,23.8,17.40625,15.6,19,20.4208333333333,2.8,885.675,82.8333333333333,95,66,3.45416666666667,2.58278166520116,8.4,105.25,13.942,104,32.9582896753586,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.02740992149913
2001-04-15,19.7958333333333,16.9,24.6,15.3645833333333,13.4,16.7,19.8833333333333,0,887.541666666667,76.375,91,51,2.25833333333333,1.68862202960076,7.8,116.916666666667,16.637,105,32.8038098045381,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.49216172333741
2001-04-16,20.5583333333333,16,26.5,15.2270833333333,12.7,16.8,20.5583333333333,0,889.191666666667,73.6666666666667,95,44,2.29583333333333,1.71666187880077,7.1,91.1666666666667,21.598,106,32.6493628084126,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.26634532505345
2001-04-17,21.3791666666667,16.8,26.7,15.5729166666667,12.3,17.4,21.3541666666667,0,888.983333333333,71,89,43,2.1375,1.59827140440072,7.3,105.791666666667,19.114,107,32.495028387684,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.0249263407223
2001-04-18,21.8541666666667,16.9,27.8,14.8833333333333,10.5,17.4,21.8958333333333,0,887.095833333333,66.4166666666667,90,35,1.65833333333333,1.23998444240056,6.5,131.833333333333,19.516,108,32.3408866189982,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.04128122994832
2001-04-19,21.7416666666667,16.5,27.7,14.5333333333333,10.3,16.5,21.7416666666667,0,886.516666666667,65.4166666666667,88,35,1.14166666666667,0.853657631200385,7.4,163.25,18.041,109,32.1870178815337,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.59559871248997
2001-04-20,22.49375,16.9,28.9,14.3375,10.3,17,22.5083333333333,0.2,886.458333333333,62.4583333333333,85,34,1.76666666666667,1.3209884512006,9.8,160.041666666667,20.859,110,32.0335027838295,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.35100040187039
2001-04-21,20.6916666666667,16.9,27.3,16.4854166666667,12.2,18.8,20.7416666666667,88.2,887.270833333333,78.1666666666667,95,43,2.23333333333333,1.66992879680075,12.1,172.125,17.292,111,31.880422090962,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.82064453846424
2001-04-22,20.7604166666667,17.8,26.5,16.8270833333333,14.8,18.6,20.7541666666667,0,886.295833333333,79.3333333333333,94,51,2.14166666666667,1.60138694320072,14.4,279.458333333333,17.526,112,31.7278566521808,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.64489681044615
2001-04-23,22.625,18.7,27.9,16.5375,14.7,18.5,22.6083333333333,0,887.279166666667,69.9583333333333,91,47,1.74166666666667,1.30229521840059,8,107.333333333333,18.133,113,31.5758873291061,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.7908996720066
2001-04-24,22.61875,17.7,27.5,14.85,10.9,17,22.6583333333333,0,889,62.75,87,36,2.74166666666667,2.05002453040092,8.3,110.666666666667,21.427,114,31.4245949245903,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.67092796172967
2001-04-25,21.6333333333333,17.6,26.6,12.4395833333333,6.4,15.8,21.5666666666667,0,890.091666666667,57.5416666666667,78,29,3.58333333333333,2.67936336800121,9.9,99.6666666666667,23.271,115,31.2740601123416,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.34093763593132
2001-04-26,21.6375,17,26.6,13.8041666666667,10.7,16.1,21.6333333333333,0,889.4625,62.1666666666667,76,44,3.5875,2.68247890680121,9.9,91.625,21.036,116,31.1243633674007,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.77510302762513
